id,collection,dc.contributor.author,dc.contributor.translator,dc.date.issued,dc.description[en],dc.identifier.citation[en],dc.identifier.DOI,dc.identifier.issn,dc.language.iso[en],dc.publisher[en],dc.title[en],dc.type[en],prism.issueIdentifier[en],prism.publicationName[en],prism.volume[en],pdf_filename,issueurl,pdfname,title,author_problem,date-text,author_citation
+,2451/61976,"Clarke, Adrian",,2000-09,,"Adrian Clarke, ""School,"" Calabash: a Journal of Caribbean Arts and Letters 1, no. 1 (September 2000), https://doi.org/10.33682/3v0s-fkzf",https://doi.org/10.33682/3v0s-fkzf,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,School,Article,1,Calabash: a Journal of Caribbean Arts and Letters,1,School.pdf,http://www.nyu.edu/calabash/vol1no1//,School.pdf,School,,September 2000,Adrian Clarke
+,2451/61976,"Coburn, Marsha E.",,2000-09,,"Marsha E. Coburn, ""The Duppy Coconut Tree,"" Calabash: a Journal of Caribbean Arts and Letters 1, no. 1 (September 2000), https://doi.org/10.33682/550k-b084",https://doi.org/10.33682/550k-b084,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,The Duppy Coconut Tree,Article,1,Calabash: a Journal of Caribbean Arts and Letters,1,The_Duppy_Coconut_Tree.pdf,http://www.nyu.edu/calabash/vol1no1//,The Duppy Coconut Tree.pdf,The Duppy Coconut Tree,,September 2000,Marsha E. Coburn
+,2451/61976,"Dalembert, Louis-Phillippe",,2000-09,,"Louis-Phillippe Dalembert, ""The Story of Dance and Rain,,"" Calabash: a Journal of Caribbean Arts and Letters 1, no. 1 (September 2000), https://doi.org/10.33682/8z3n-tku7",https://doi.org/10.33682/8z3n-tku7,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,"The Story of Dance and Rain,",Article,1,Calabash: a Journal of Caribbean Arts and Letters,1,Story_of_Dance_and_Rain.pdf,http://www.nyu.edu/calabash/vol1no1//,Story of Dance and Rain.pdf,"The Story of Dance and Rain,",,September 2000,Louis-Phillippe Dalembert
+,2451/61976,"Dalembert, Louis-Phillippe",,2000-09,,"Louis-Phillippe Dalembert, ""Histoire de Danse et de Pluie,"" Calabash: a Journal of Caribbean Arts and Letters 1, no. 1 (September 2000), https://doi.org/10.33682/qy8r-fyg8",https://doi.org/10.33682/qy8r-fyg8,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Histoire de Danse et de Pluie,Article,1,Calabash: a Journal of Caribbean Arts and Letters,1,Histoire_de_danse_et_de_pluie.pdf,http://www.nyu.edu/calabash/vol1no1//,Histoire de danse et de pluie.pdf,Histoire de Danse et de Pluie,,September 2000,Louis-Phillippe Dalembert
+,2451/61976,"Bishop, Jacqueline",,2004,,"Jacqueline Bishop, ""Recipe,"" Calabash: a Journal of Caribbean Arts and Letters 3, no. 1 (Fall-Spring 2004), https://doi.org/10.33682/vwq6-w5tp",https://doi.org/10.33682/vwq6-w5tp,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Recipe,Article,1,Calabash: a Journal of Caribbean Arts and Letters,3,0301085.pdf,http://www.nyu.edu/calabash/vol3no1/,0301085.pdf,Recipe,,Fall-Spring 2004,Jacqueline Bishop
+,2451/61976,"Garrison, Peggy",,2004,,"Peggy Garrison, ""City Blackout,"" Calabash: a Journal of Caribbean Arts and Letters 3, no. 1 (Fall-Spring 2004), https://doi.org/10.33682/casa-6009",https://doi.org/10.33682/casa-6009,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,City Blackout,Article,1,Calabash: a Journal of Caribbean Arts and Letters,3,0301087.pdf,http://www.nyu.edu/calabash/vol3no1/,0301087.pdf,City Blackout,,Fall-Spring 2004,Peggy Garrison
+,2451/61976,"Garrison, Peggy",,2004,,"Peggy Garrison, ""Sidney's Kidneys,"" Calabash: a Journal of Caribbean Arts and Letters 3, no. 1 (Fall-Spring 2004), https://doi.org/10.33682/q80j-6pm3",https://doi.org/10.33682/q80j-6pm3,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Sidney's Kidneys,Article,1,Calabash: a Journal of Caribbean Arts and Letters,3,0301088.pdf,http://www.nyu.edu/calabash/vol3no1/,0301088.pdf,Sidney's Kidneys,,Fall-Spring 2004,Peggy Garrison
+,2451/61976,"Garrison, Peggy",,2004,,"Peggy Garrison, ""Re: John,"" Calabash: a Journal of Caribbean Arts and Letters 3, no. 1 (Fall-Spring 2004), https://doi.org/10.33682/rmh5-37y1",https://doi.org/10.33682/rmh5-37y1,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Re: John,Article,1,Calabash: a Journal of Caribbean Arts and Letters,3,0301089.pdf,http://www.nyu.edu/calabash/vol3no1/,0301089.pdf,Re: John,,Fall-Spring 2004,Peggy Garrison
+,2451/61976,"Garrison, Peggy",,2004,,"Peggy Garrison, ""Ocean,"" Calabash: a Journal of Caribbean Arts and Letters 3, no. 1 (Fall-Spring 2004), https://doi.org/10.33682/d004-bzfy",https://doi.org/10.33682/d004-bzfy,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Ocean,Article,1,Calabash: a Journal of Caribbean Arts and Letters,3,0301090.pdf,http://www.nyu.edu/calabash/vol3no1/,0301090.pdf,Ocean,,Fall-Spring 2004,Peggy Garrison
+,2451/61976,"Garrison, Peggy",,2004,,"Peggy Garrison, ""Chez Zouhra,"" Calabash: a Journal of Caribbean Arts and Letters 3, no. 1 (Fall-Spring 2004), https://doi.org/10.33682/gsad-b1ss",https://doi.org/10.33682/gsad-b1ss,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Chez Zouhra,Article,1,Calabash: a Journal of Caribbean Arts and Letters,3,0301091.pdf,http://www.nyu.edu/calabash/vol3no1/,0301091.pdf,Chez Zouhra,,Fall-Spring 2004,Peggy Garrison
+,2451/61976,"McLean, Dolace||Bishop, Jacqueline",,2003,,"Dolace McLean, Jacqueline Bishop, ""Of Hearts Revealed: An Interview with Olive Senior,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 2 (Summer-Fall 2003), https://doi.org/10.33682/x89e-ec6x",https://doi.org/10.33682/x89e-ec6x,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Of Hearts Revealed: An Interview with Olive Senior,Article,2,Calabash: a Journal of Caribbean Arts and Letters,2,0202003.pdf,http://www.nyu.edu/calabash/vol2no2/,0202003.pdf,Of Hearts Revealed: An Interview with Olive Senior,,Summer-Fall 2003,"Dolace McLean, Jacqueline Bishop"
+,2451/61976,"Torres-Saillant, Silvio",,2003,,"Silvio Torres-Saillant, ""Writing Has to be Generous: An Interview with Angie Cruz,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 2 (Summer-Fall 2003), https://doi.org/10.33682/we2c-7qwj",https://doi.org/10.33682/we2c-7qwj,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Writing Has to be Generous: An Interview with Angie Cruz,Article,2,Calabash: a Journal of Caribbean Arts and Letters,2,0202108.pdf,http://www.nyu.edu/calabash/vol2no2/,0202108.pdf,Writing Has to be Generous: An Interview with Angie Cruz,,Summer-Fall 2003,Silvio Torres-Saillant
+,2451/61976,"McDonald, Ian",,2003,,"Ian McDonald, ""Shadows Will Hide the Sun,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 2 (Summer-Fall 2003), https://doi.org/10.33682/g192-g7n1",https://doi.org/10.33682/g192-g7n1,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Shadows Will Hide the Sun,Article,2,Calabash: a Journal of Caribbean Arts and Letters,2,0202036.pdf,http://www.nyu.edu/calabash/vol2no2/,0202036.pdf,Shadows Will Hide the Sun,,Summer-Fall 2003,Ian McDonald
+,2451/61976,"Díaz, Lila","Rojas, Rodrigo",2003,,"Lila Díaz, ""Toda Isla Es Una Jaula (Every Island Is a Cage),"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 2 (Summer-Fall 2003), https://doi.org/10.33682/pvyg-zcyw",https://doi.org/10.33682/pvyg-zcyw,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Toda Isla Es Una Jaula (Every Island Is a Cage),Article,2,Calabash: a Journal of Caribbean Arts and Letters,2,0202037.pdf,http://www.nyu.edu/calabash/vol2no2/,0202037.pdf,Toda Isla Es Una Jaula (Every Island Is a Cage),,Summer-Fall 2003,Lila Díaz
+,2451/61976,"Rojas, Rodrigo",,2003,,"Rodrigo Rojas, ""Catedrales que Trinan,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 2 (Summer-Fall 2003), https://doi.org/10.33682/crg2-vtxw",https://doi.org/10.33682/crg2-vtxw,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Catedrales que Trinan,Article,2,Calabash: a Journal of Caribbean Arts and Letters,2,0202038.pdf,http://www.nyu.edu/calabash/vol2no2/,0202038.pdf,Catedrales que Trinan,,Summer-Fall 2003,Rodrigo Rojas
+,2451/61976,"Bishop, Jacqueline",,2002,,"Jacqueline Bishop, ""Full Bloom,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 1 (Fall 2002), https://doi.org/10.33682/2xvg-0s12",https://doi.org/10.33682/2xvg-0s12,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Full Bloom,Article,1,Calabash: a Journal of Caribbean Arts and Letters,2,Full_Bloom.pdf,http://www.nyu.edu/calabash/vol2no1/,Full Bloom.pdf,Full Bloom,,Fall 2002,Jacqueline Bishop
+,2451/61976,"Bishop, Jacqueline",,2002,,"Jacqueline Bishop, ""Calling Me Back Home,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 1 (Fall 2002), https://doi.org/10.33682/4egs-01fe",https://doi.org/10.33682/4egs-01fe,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Calling Me Back Home,Article,1,Calabash: a Journal of Caribbean Arts and Letters,2,Calling_Me_Back_Home.pdf,http://www.nyu.edu/calabash/vol2no1/,Calling Me Back Home.pdf,Calling Me Back Home,,Fall 2002,Jacqueline Bishop
+,2451/61976,"Brennan, Susan",,2002,,"Susan Brennan, ""Yemaya,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 1 (Fall 2002), https://doi.org/10.33682/shcg-pw2e",https://doi.org/10.33682/shcg-pw2e,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Yemaya,Article,1,Calabash: a Journal of Caribbean Arts and Letters,2,Yemaya.pdf,http://www.nyu.edu/calabash/vol2no1/,Yemaya.pdf,Yemaya,,Fall 2002,Susan Brennan
+,2451/61976,"Mordecai, Pamela",,2002,,"Pamela Mordecai, ""Caliban Calypso,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 1 (Fall 2002), https://doi.org/10.33682/0gab-z90f",https://doi.org/10.33682/0gab-z90f,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Caliban Calypso,Article,1,Calabash: a Journal of Caribbean Arts and Letters,2,Caliban_Calypso.pdf,http://www.nyu.edu/calabash/vol2no1/,Caliban Calypso.pdf,Caliban Calypso,,Fall 2002,Pamela Mordecai
+,2451/61976,"Suarez, Virgil",,2001,,"Virgil Suarez, ""The Maker Of Mango Marmalade,"" Calabash: a Journal of Caribbean Arts and Letters 1, no. 2 (Spring-Summer 2001), https://doi.org/10.33682/dsww-uazz",https://doi.org/10.33682/dsww-uazz,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,The Maker Of Mango Marmalade,Article,2,Calabash: a Journal of Caribbean Arts and Letters,1,The_Maker_Of_Mango_Marmalade.pdf,http://www.nyu.edu/calabash/vol1no2/,The Maker Of Mango Marmalade.pdf,The Maker Of Mango Marmalade,,Spring-Summer 2001,Virgil Suarez
+,2451/61976,"Suarez, Virgil",,2001,,"Virgil Suarez, ""Latin Jazz Burial Borinquen Style,"" Calabash: a Journal of Caribbean Arts and Letters 1, no. 2 (Spring-Summer 2001), https://doi.org/10.33682/8tpr-gmrs",https://doi.org/10.33682/8tpr-gmrs,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Latin Jazz Burial Borinquen Style,Article,2,Calabash: a Journal of Caribbean Arts and Letters,1,Latin_Jazz_Burial.pdf,http://www.nyu.edu/calabash/vol1no2/,Latin Jazz Burial.pdf,Latin Jazz Burial Borinquen Style,,Spring-Summer 2001,Virgil Suarez
+,2451/61976,"Suarez, Virgil",,2001,,"Virgil Suarez, ""Raspita, Or Doña Inez Blushes,"" Calabash: a Journal of Caribbean Arts and Letters 1, no. 2 (Spring-Summer 2001), https://doi.org/10.33682/pjzu-fvsp",https://doi.org/10.33682/pjzu-fvsp,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,"Raspita, Or Doña Inez Blushes",Article,2,Calabash: a Journal of Caribbean Arts and Letters,1,Raspita.pdf,http://www.nyu.edu/calabash/vol1no2/,Raspita.pdf,"Raspita, Or Doña Inez Blushes",,Spring-Summer 2001,Virgil Suarez
+,2451/61976,"Suarez, Virgil",,2001,,"Virgil Suarez, ""Tio Anibal,"" Calabash: a Journal of Caribbean Arts and Letters 1, no. 2 (Spring-Summer 2001), https://doi.org/10.33682/7b9f-2d1t",https://doi.org/10.33682/7b9f-2d1t,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Tio Anibal,Article,2,Calabash: a Journal of Caribbean Arts and Letters,1,Tio_Anibal.pdf,http://www.nyu.edu/calabash/vol1no2/,Tio Anibal.pdf,Tio Anibal,,Spring-Summer 2001,Virgil Suarez
+,2451/61976,"Suarez, Virgil",,2001,,"Virgil Suarez, ""En el Jardin de los Espejos Quebrados,"" Calabash: a Journal of Caribbean Arts and Letters 1, no. 2 (Spring-Summer 2001), https://doi.org/10.33682/0mhk-tz97",https://doi.org/10.33682/0mhk-tz97,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,En el Jardin de los Espejos Quebrados,Article,2,Calabash: a Journal of Caribbean Arts and Letters,1,En_el_Jardin_de_los_Espejos.pdf,http://www.nyu.edu/calabash/vol1no2/,En el Jardin de los Espejos.pdf,En el Jardin de los Espejos Quebrados,,Spring-Summer 2001,Virgil Suarez
+,2451/61976,"Adisa, Opal Palmer",,2001,,"Opal Palmer Adisa, ""Poinsetta,"" Calabash: a Journal of Caribbean Arts and Letters 1, no. 2 (Spring-Summer 2001), https://doi.org/10.33682/wjh2-x60p",https://doi.org/10.33682/wjh2-x60p,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Poinsetta,Article,2,Calabash: a Journal of Caribbean Arts and Letters,1,Poinsetta.pdf,http://www.nyu.edu/calabash/vol1no2/,Poinsetta.pdf,Poinsetta,,Spring-Summer 2001,Opal Palmer Adisa
+,2451/61976,"Tung, Suelin Low Chew||Mains, Susan||Mains, Asher||Brathwaite, Roger||Benoit, Oliver",,2005,,"Suelin Low Chew Tung, Susan Mains, Asher Mains, Roger Brathwaite, Oliver Benoit, ""Gallery of Grenadian Artists,"" Calabash: a Journal of Caribbean Arts and Letters 3, no. 2 (Fall-Winter 2005), https://doi.org/10.33682/0cxf-42m3",https://doi.org/10.33682/0cxf-42m3,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Gallery of Grenadian Artists,Article,2,Calabash: a Journal of Caribbean Arts and Letters,3,gallery.pdf,http://www.nyu.edu/calabash/vol3no2/,vol3no2/gallery.pdf,Gallery of Grenadian Artists,,Fall-Winter 2005,"Suelin Low Chew Tung, Susan Mains, Asher Mains, Roger Brathwaite, Oliver Benoit"
+,2451/61976,"Ross, Jacob",,2005,,"Jacob Ross, ""Pynter Bender,"" Calabash: a Journal of Caribbean Arts and Letters 3, no. 2 (Fall-Winter 2005), https://doi.org/10.33682/nc7a-tzc6",https://doi.org/10.33682/nc7a-tzc6,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Pynter Bender,Article,2,Calabash: a Journal of Caribbean Arts and Letters,3,0302068.pdf,http://www.nyu.edu/calabash/vol3no2/,vol3no2/0302068.pdf,Pynter Bender,,Fall-Winter 2005,Jacob Ross
+,2451/61976,"James, Keshia",,2005,,"Keshia James, ""Gone,"" Calabash: a Journal of Caribbean Arts and Letters 3, no. 2 (Fall-Winter 2005), https://doi.org/10.33682/yadw-whfn",https://doi.org/10.33682/yadw-whfn,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Gone,Article,2,Calabash: a Journal of Caribbean Arts and Letters,3,0302084.pdf,http://www.nyu.edu/calabash/vol3no2/,vol3no2/0302084.pdf,Gone,,Fall-Winter 2005,Keshia James
+,2451/61976,"James, Keshia",,2005,,"Keshia James, ""Still Here,"" Calabash: a Journal of Caribbean Arts and Letters 3, no. 2 (Fall-Winter 2005), https://doi.org/10.33682/z64z-0v0u",https://doi.org/10.33682/z64z-0v0u,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Still Here,Article,2,Calabash: a Journal of Caribbean Arts and Letters,3,0302098.pdf,http://www.nyu.edu/calabash/vol3no2/,vol3no2/0302098.pdf,Still Here,,Fall-Winter 2005,Keshia James
+,2451/61976,"Roberts, Maureen",,2005,,"Maureen Roberts, ""Slow Down Freight Train,"" Calabash: a Journal of Caribbean Arts and Letters 3, no. 2 (Fall-Winter 2005), https://doi.org/10.33682/afrs-yv7g",https://doi.org/10.33682/afrs-yv7g,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Slow Down Freight Train,Article,2,Calabash: a Journal of Caribbean Arts and Letters,3,0302164.pdf,http://www.nyu.edu/calabash/vol3no2/,vol3no2/0302164.pdf,Slow Down Freight Train,,Fall-Winter 2005,Maureen Roberts
+,2451/61976,"Kennedy, Deanne",,2000-09,,"Deanne Kennedy, ""An Exercise in Discipline,"" Calabash: a Journal of Caribbean Arts and Letters 1, no. 1 (September 2000), https://doi.org/10.33682/sj18-jtkq",https://doi.org/10.33682/sj18-jtkq,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,An Exercise in Discipline,Article,1,Calabash: a Journal of Caribbean Arts and Letters,1,An_Exercise_in_Discipline.pdf,http://www.nyu.edu/calabash/vol1no1//,An Exercise in Discipline.pdf,An Exercise in Discipline,,September 2000,Deanne Kennedy
+,2451/61976,"Mason, Clifford",,2000-09,,"Clifford Mason, ""The Verandah,"" Calabash: a Journal of Caribbean Arts and Letters 1, no. 1 (September 2000), https://doi.org/10.33682/j0hr-7yzg",https://doi.org/10.33682/j0hr-7yzg,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,The Verandah,Article,1,Calabash: a Journal of Caribbean Arts and Letters,1,The_Verandah.pdf,http://www.nyu.edu/calabash/vol1no1//,The Verandah.pdf,The Verandah,,September 2000,Clifford Mason
+,2451/61976,"McConnell, Thomas",,2000-09,,"Thomas McConnell, ""Vanishing Point,"" Calabash: a Journal of Caribbean Arts and Letters 1, no. 1 (September 2000), https://doi.org/10.33682/4055-2e0q",https://doi.org/10.33682/4055-2e0q,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Vanishing Point,Article,1,Calabash: a Journal of Caribbean Arts and Letters,1,Vanishing_Point.pdf,http://www.nyu.edu/calabash/vol1no1//,Vanishing Point.pdf,Vanishing Point,,September 2000,Thomas McConnell
+,2451/61976,"Nimblett, Anton",,2000-09,,"Anton Nimblett, ""On The Side,"" Calabash: a Journal of Caribbean Arts and Letters 1, no. 1 (September 2000), https://doi.org/10.33682/eyjp-pupr",https://doi.org/10.33682/eyjp-pupr,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,On The Side,Article,1,Calabash: a Journal of Caribbean Arts and Letters,1,On_The_Side.pdf,http://www.nyu.edu/calabash/vol1no1//,On The Side.pdf,On The Side,,September 2000,Anton Nimblett
+,2451/61976,"Maxwell, Dwight",,2004,,"Dwight Maxwell, ""A Fisherman's Tale,"" Calabash: a Journal of Caribbean Arts and Letters 3, no. 1 (Fall-Spring 2004), https://doi.org/10.33682/4yzy-rvc1",https://doi.org/10.33682/4yzy-rvc1,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,A Fisherman's Tale,Article,1,Calabash: a Journal of Caribbean Arts and Letters,3,0301094.pdf,http://www.nyu.edu/calabash/vol3no1/,0301094.pdf,A Fisherman's Tale,,Fall-Spring 2004,Dwight Maxwell
+,2451/61976,"Brennan, Susan",,2004,,"Susan Brennan, ""The Blue Hole,"" Calabash: a Journal of Caribbean Arts and Letters 3, no. 1 (Fall-Spring 2004), https://doi.org/10.33682/e4em-5gem",https://doi.org/10.33682/e4em-5gem,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,The Blue Hole,Article,1,Calabash: a Journal of Caribbean Arts and Letters,3,0301099.pdf,http://www.nyu.edu/calabash/vol3no1/,0301099.pdf,The Blue Hole,,Fall-Spring 2004,Susan Brennan
+,2451/61976,"Brennan, Susan",,2004,,"Susan Brennan, ""Blind Swimmers,"" Calabash: a Journal of Caribbean Arts and Letters 3, no. 1 (Fall-Spring 2004), https://doi.org/10.33682/bw8a-fegr",https://doi.org/10.33682/bw8a-fegr,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Blind Swimmers,Article,1,Calabash: a Journal of Caribbean Arts and Letters,3,0301100.pdf,http://www.nyu.edu/calabash/vol3no1/,0301100.pdf,Blind Swimmers,,Fall-Spring 2004,Susan Brennan
+,2451/61976,"Brennan, Susan",,2004,,"Susan Brennan, ""Cruelty Sea Maid,"" Calabash: a Journal of Caribbean Arts and Letters 3, no. 1 (Fall-Spring 2004), https://doi.org/10.33682/epua-fhza",https://doi.org/10.33682/epua-fhza,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Cruelty Sea Maid,Article,1,Calabash: a Journal of Caribbean Arts and Letters,3,0301101.pdf,http://www.nyu.edu/calabash/vol3no1/,0301101.pdf,Cruelty Sea Maid,,Fall-Spring 2004,Susan Brennan
+,2451/61976,"Brennan, Susan",,2004,,"Susan Brennan, ""Morning Bird,"" Calabash: a Journal of Caribbean Arts and Letters 3, no. 1 (Fall-Spring 2004), https://doi.org/10.33682/r710-4eg6",https://doi.org/10.33682/r710-4eg6,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Morning Bird,Article,1,Calabash: a Journal of Caribbean Arts and Letters,3,0301102.pdf,http://www.nyu.edu/calabash/vol3no1/,0301102.pdf,Morning Bird,,Fall-Spring 2004,Susan Brennan
+,2451/61976,"Harris, Maggie",,2003,,"Maggie Harris, ""To the Lady's Slipper Orchid, a Daughter,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 2 (Summer-Fall 2003), https://doi.org/10.33682/28m0-zx9v",https://doi.org/10.33682/28m0-zx9v,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,"To the Lady's Slipper Orchid, a Daughter",Article,2,Calabash: a Journal of Caribbean Arts and Letters,2,0202040.pdf,http://www.nyu.edu/calabash/vol2no2/,0202040.pdf,"To the Lady's Slipper Orchid, a Daughter",,Summer-Fall 2003,Maggie Harris
+,2451/61976,"Harris, Maggie",,2003,,"Maggie Harris, ""the night-time put on flesh and blackness',"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 2 (Summer-Fall 2003), https://doi.org/10.33682/dne2-00q2",https://doi.org/10.33682/dne2-00q2,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,the night-time put on flesh and blackness',Article,2,Calabash: a Journal of Caribbean Arts and Letters,2,0202041.pdf,http://www.nyu.edu/calabash/vol2no2/,0202041.pdf,the night-time put on flesh and blackness',,Summer-Fall 2003,Maggie Harris
+,2451/61976,"Harris, Maggie",,2003,,"Maggie Harris, ""Pancho Villa's Daughter,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 2 (Summer-Fall 2003), https://doi.org/10.33682/6stt-p770",https://doi.org/10.33682/6stt-p770,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Pancho Villa's Daughter,Article,2,Calabash: a Journal of Caribbean Arts and Letters,2,0202042.pdf,http://www.nyu.edu/calabash/vol2no2/,0202042.pdf,Pancho Villa's Daughter,,Summer-Fall 2003,Maggie Harris
+,2451/61976,"Harris, Maggie",,2003,,"Maggie Harris, ""Sugar,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 2 (Summer-Fall 2003), https://doi.org/10.33682/7ne1-0evr",https://doi.org/10.33682/7ne1-0evr,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Sugar,Article,2,Calabash: a Journal of Caribbean Arts and Letters,2,0202043.pdf,http://www.nyu.edu/calabash/vol2no2/,0202043.pdf,Sugar,,Summer-Fall 2003,Maggie Harris
+,2451/61976,"Maxwell, Dwight",,2003,,"Dwight Maxwell, ""A Fisherman's Tale,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 2 (Summer-Fall 2003), https://doi.org/10.33682/vr3a-tv04",https://doi.org/10.33682/vr3a-tv04,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,A Fisherman's Tale,Article,2,Calabash: a Journal of Caribbean Arts and Letters,2,0202066.pdf,http://www.nyu.edu/calabash/vol2no2/,0202066.pdf,A Fisherman's Tale,,Summer-Fall 2003,Dwight Maxwell
+,2451/61976,"Patricia, N'Maya",,2002,,"N'Maya Patricia, ""Tanty Joan at the Airport,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 1 (Fall 2002), https://doi.org/10.33682/007w-pzxn",https://doi.org/10.33682/007w-pzxn,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Tanty Joan at the Airport,Article,1,Calabash: a Journal of Caribbean Arts and Letters,2,Tanty_Joan_at_the_Airport.pdf,http://www.nyu.edu/calabash/vol2no1/,Tanty Joan at the Airport.pdf,Tanty Joan at the Airport,,Fall 2002,N'Maya Patricia
+,2451/61976,"Suarez, Virgil",,2002,,"Virgil Suarez, ""So Much Like My Father,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 1 (Fall 2002), https://doi.org/10.33682/21ga-vyf4",https://doi.org/10.33682/21ga-vyf4,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,So Much Like My Father,Article,1,Calabash: a Journal of Caribbean Arts and Letters,2,So_Much_Like_My_Father.pdf,http://www.nyu.edu/calabash/vol2no1/,So Much Like My Father.pdf,So Much Like My Father,,Fall 2002,Virgil Suarez
+,2451/61976,"Suarez, Virgil",,2002,,"Virgil Suarez, ""Lo que se va en la noche,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 1 (Fall 2002), https://doi.org/10.33682/u45p-zswf",https://doi.org/10.33682/u45p-zswf,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Lo que se va en la noche,Article,1,Calabash: a Journal of Caribbean Arts and Letters,2,Lo_que_se_va_en_la_noche.pdf,http://www.nyu.edu/calabash/vol2no1/,Lo que se va en la noche.pdf,Lo que se va en la noche,,Fall 2002,Virgil Suarez
