pdf_filename,author,author_index,author_problem,issue,volume,date-iso,date-text,issueurl,pdfname,title,title_noquotes,issn,journaltitle,publisher
0202133.pdf,Alba Delia Hernandez,"Hernandez, Alba Delia",,2,2,2003,Summer-Fall 2003,http://www.nyu.edu/calabash/vol2no2/,0202133.pdf,My Sister,My Sister,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0202135.pdf,Alba Delia Hernandez,"Hernandez, Alba Delia",,2,2,2003,Summer-Fall 2003,http://www.nyu.edu/calabash/vol2no2/,0202135.pdf,Mami,Mami,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0202137.pdf,Alba Delia Hernandez,"Hernandez, Alba Delia",,2,2,2003,Summer-Fall 2003,http://www.nyu.edu/calabash/vol2no2/,0202137.pdf,There Are Beautiful Stars Outside,There Are Beautiful Stars Outside,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0202157.pdf,Opal Palmer Adisa,"Adisa, Opal Palmer",,2,2,2003,Summer-Fall 2003,http://www.nyu.edu/calabash/vol2no2/,0202157.pdf,A Family Built on Love,A Family Built on Love,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0202160.pdf,Opal Palmer Adisa,"Adisa, Opal Palmer",,2,2,2003,Summer-Fall 2003,http://www.nyu.edu/calabash/vol2no2/,0202160.pdf,The Color Wheel,The Color Wheel,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
Late At Night Knitting.pdf,Y. C. Murphy,"Murphy, Y. C.",ambiguous,1,2,2002,Fall 2002,http://www.nyu.edu/calabash/vol2no1/,Late At Night Knitting.pdf,Late At Night Knitting,Late At Night Knitting,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
Tomatoes.pdf,Christian A. Campbell,"Campbell, Christian A.",,1,2,2002,Fall 2002,http://www.nyu.edu/calabash/vol2no1/,Tomatoes.pdf,Tomatoes,Tomatoes,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
Before Electricity.pdf,Jacqueline Bishop,"Bishop, Jacqueline",,1,2,2002,Fall 2002,http://www.nyu.edu/calabash/vol2no1/,Before Electricity.pdf,Before Electricity,Before Electricity,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
Pa.pdf,Jacqueline Bishop,"Bishop, Jacqueline",,1,2,2002,Fall 2002,http://www.nyu.edu/calabash/vol2no1/,Pa.pdf,Pa,Pa,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
Those Were My Young Green Days.pdf,Jacqueline Bishop,"Bishop, Jacqueline",,1,2,2002,Fall 2002,http://www.nyu.edu/calabash/vol2no1/,Those Were My Young Green Days.pdf,Those Were My Young Green Days,Those Were My Young Green Days,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
Under The Spell Of A Max Ernst.pdf,Felix de Rooy,"de Rooy, Felix",,2,1,2001,Spring-Summer 2001,http://www.nyu.edu/calabash/vol1no2/,Under The Spell Of A Max Ernst.pdf,Under The Spell Of A Max Ernst Sky,Under The Spell Of A Max Ernst Sky,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
Vampire Fleeing Approaching.pdf,Felix de Rooy,"de Rooy, Felix",,2,1,2001,Spring-Summer 2001,http://www.nyu.edu/calabash/vol1no2/,Vampire Fleeing Approaching.pdf,Vampire Fleeing Approaching Light,Vampire Fleeing Approaching Light,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
Together.pdf,Gibi Bacilio,"Bacilio, Gibi",,2,1,2001,Spring-Summer 2001,http://www.nyu.edu/calabash/vol1no2/,Together.pdf,Together,Together,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
Sycorax Requiem.pdf,John Keene,"Keene, John",,2,1,2001,Spring-Summer 2001,http://www.nyu.edu/calabash/vol1no2/,Sycorax Requiem.pdf,"Sycorax, Requiem","Sycorax, Requiem",1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
The Charm Of Repeating Islands.pdf,Virgil Suarez,"Suarez, Virgil",,2,1,2001,Spring-Summer 2001,http://www.nyu.edu/calabash/vol1no2/,The Charm Of Repeating Islands.pdf,The Charm Of Repeating Islands,The Charm Of Repeating Islands,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0302086.pdf,Nadine Rogers,"Rogers, Nadine",,2,3,2005,Fall-Winter 2005,http://www.nyu.edu/calabash/vol3no2/,vol3no2/0302086.pdf,For the Girls,For the Girls,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0302088.pdf,Nadine Rogers,"Rogers, Nadine",,2,3,2005,Fall-Winter 2005,http://www.nyu.edu/calabash/vol3no2/,vol3no2/0302088.pdf,December Clean,December Clean,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0302089.pdf,Nadine Rogers,"Rogers, Nadine",,2,3,2005,Fall-Winter 2005,http://www.nyu.edu/calabash/vol3no2/,vol3no2/0302089.pdf,Haiku,Haiku,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0302090.pdf,Nadine Rogers,"Rogers, Nadine",,2,3,2005,Fall-Winter 2005,http://www.nyu.edu/calabash/vol3no2/,vol3no2/0302090.pdf,Sojouner's Song,Sojouner's Song,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0302159.pdf,Suelin Low Chew Tung,"Tung, Suelin Low Chew",,2,3,2005,Fall-Winter 2005,http://www.nyu.edu/calabash/vol3no2/,vol3no2/0302159.pdf,Creative Arts: Grenada's Best Practice,Creative Arts: Grenada's Best Practice,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
Watching and Waiting.pdf,James Carmicheal,"Carmicheal, James",,1,1,2000-09,September 2000,http://www.nyu.edu/calabash/vol1no1//,Watching and Waiting.pdf,Watching and Waiting,Watching and Waiting,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
School.pdf,Adrian Clarke,"Clarke, Adrian",,1,1,2000-09,September 2000,http://www.nyu.edu/calabash/vol1no1//,School.pdf,School,School,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
The Duppy Coconut Tree.pdf,Marsha E. Coburn,"Coburn, Marsha E.",,1,1,2000-09,September 2000,http://www.nyu.edu/calabash/vol1no1//,The Duppy Coconut Tree.pdf,The Duppy Coconut Tree,The Duppy Coconut Tree,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
Story of Dance and Rain.pdf,Louis-Phillippe Dalembert,"Dalembert, Louis-Phillippe",,1,1,2000-09,September 2000,http://www.nyu.edu/calabash/vol1no1//,Story of Dance and Rain.pdf,"The Story of Dance and Rain,","The Story of Dance and Rain,",1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
Histoire de danse et de pluie.pdf,Louis-Phillippe Dalembert,"Dalembert, Louis-Phillippe",,1,1,2000-09,September 2000,http://www.nyu.edu/calabash/vol1no1//,Histoire de danse et de pluie.pdf,Histoire de Danse et de Pluie,Histoire de Danse et de Pluie,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0301085.pdf,Jacqueline Bishop,"Bishop, Jacqueline",,1,3,2004,Fall-Spring 2004,http://www.nyu.edu/calabash/vol3no1/,0301085.pdf,Recipe,Recipe,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0301087.pdf,Peggy Garrison,"Garrison, Peggy",,1,3,2004,Fall-Spring 2004,http://www.nyu.edu/calabash/vol3no1/,0301087.pdf,City Blackout,City Blackout,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0301088.pdf,Peggy Garrison,"Garrison, Peggy",,1,3,2004,Fall-Spring 2004,http://www.nyu.edu/calabash/vol3no1/,0301088.pdf,Sidney's Kidneys,Sidney's Kidneys,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0301089.pdf,Peggy Garrison,"Garrison, Peggy",,1,3,2004,Fall-Spring 2004,http://www.nyu.edu/calabash/vol3no1/,0301089.pdf,Re: John,Re: John,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0301090.pdf,Peggy Garrison,"Garrison, Peggy",,1,3,2004,Fall-Spring 2004,http://www.nyu.edu/calabash/vol3no1/,0301090.pdf,Ocean,Ocean,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0301091.pdf,Peggy Garrison,"Garrison, Peggy",,1,3,2004,Fall-Spring 2004,http://www.nyu.edu/calabash/vol3no1/,0301091.pdf,Chez Zouhra,Chez Zouhra,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0202003.pdf,Dolace McLean|Jacqueline Bishop,"McLean, Dolace;Bishop, Jacqueline",,2,2,2003,Summer-Fall 2003,http://www.nyu.edu/calabash/vol2no2/,0202003.pdf,Of Hearts Revealed: An Interview with Olive Senior,Of Hearts Revealed: An Interview with Olive Senior,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0202108.pdf,Silvio Torres-Saillant,"Torres-Saillant, Silvio",,2,2,2003,Summer-Fall 2003,http://www.nyu.edu/calabash/vol2no2/,0202108.pdf,Writing Has to be Generous: An Interview with Angie Cruz,Writing Has to be Generous: An Interview with Angie Cruz,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0202036.pdf,Ian McDonald,"McDonald, Ian",,2,2,2003,Summer-Fall 2003,http://www.nyu.edu/calabash/vol2no2/,0202036.pdf,Shadows Will Hide the Sun,Shadows Will Hide the Sun,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0202037.pdf,Lila Díaz,"Díaz, Lila",translator included (Rodrigo Rojas),2,2,2003,Summer-Fall 2003,http://www.nyu.edu/calabash/vol2no2/,0202037.pdf,Toda Isla Es Una Jaula (Every Island Is a Cage),Toda Isla Es Una Jaula (Every Island Is a Cage),1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0202038.pdf,Rodrigo Rojas,"Rojas, Rodrigo",,2,2,2003,Summer-Fall 2003,http://www.nyu.edu/calabash/vol2no2/,0202038.pdf,Catedrales que Trinan,Catedrales que Trinan,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
Full Bloom.pdf,Jacqueline Bishop,"Bishop, Jacqueline",,1,2,2002,Fall 2002,http://www.nyu.edu/calabash/vol2no1/,Full Bloom.pdf,Full Bloom,Full Bloom,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
Calling Me Back Home.pdf,Jacqueline Bishop,"Bishop, Jacqueline",,1,2,2002,Fall 2002,http://www.nyu.edu/calabash/vol2no1/,Calling Me Back Home.pdf,Calling Me Back Home,Calling Me Back Home,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
Yemaya.pdf,Susan Brennan,"Brennan, Susan",,1,2,2002,Fall 2002,http://www.nyu.edu/calabash/vol2no1/,Yemaya.pdf,Yemaya,Yemaya,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
Caliban Calypso.pdf,Pamela Mordecai,"Mordecai, Pamela",,1,2,2002,Fall 2002,http://www.nyu.edu/calabash/vol2no1/,Caliban Calypso.pdf,Caliban Calypso,Caliban Calypso,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
The Maker Of Mango Marmalade.pdf,Virgil Suarez,"Suarez, Virgil",,2,1,2001,Spring-Summer 2001,http://www.nyu.edu/calabash/vol1no2/,The Maker Of Mango Marmalade.pdf,The Maker Of Mango Marmalade,The Maker Of Mango Marmalade,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
Latin Jazz Burial.pdf,Virgil Suarez,"Suarez, Virgil",,2,1,2001,Spring-Summer 2001,http://www.nyu.edu/calabash/vol1no2/,Latin Jazz Burial.pdf,Latin Jazz Burial Borinquen Style,Latin Jazz Burial Borinquen Style,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
Raspita.pdf,Virgil Suarez,"Suarez, Virgil",,2,1,2001,Spring-Summer 2001,http://www.nyu.edu/calabash/vol1no2/,Raspita.pdf,"Raspita, Or Doña Inez Blushes","Raspita, Or Doña Inez Blushes",1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
Tio Anibal.pdf,Virgil Suarez,"Suarez, Virgil",,2,1,2001,Spring-Summer 2001,http://www.nyu.edu/calabash/vol1no2/,Tio Anibal.pdf,Tio Anibal,Tio Anibal,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
En el Jardin de los Espejos.pdf,Virgil Suarez,"Suarez, Virgil",,2,1,2001,Spring-Summer 2001,http://www.nyu.edu/calabash/vol1no2/,En el Jardin de los Espejos.pdf,En el Jardin de los Espejos Quebrados,En el Jardin de los Espejos Quebrados,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
Poinsetta.pdf,Opal Palmer Adisa,"Adisa, Opal Palmer",,2,1,2001,Spring-Summer 2001,http://www.nyu.edu/calabash/vol1no2/,Poinsetta.pdf,Poinsetta,Poinsetta,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
gallery.pdf,Various Grenadian Artists,"Artists, Various Grenadian",,2,3,2005,Fall-Winter 2005,http://www.nyu.edu/calabash/vol3no2/,vol3no2/gallery.pdf,Gallery of Grenadian Artists,Gallery of Grenadian Artists,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0302068.pdf,Jacob Ross,"Ross, Jacob",,2,3,2005,Fall-Winter 2005,http://www.nyu.edu/calabash/vol3no2/,vol3no2/0302068.pdf,Pynter Bender,Pynter Bender,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0302084.pdf,Keshia James,"James, Keshia",,2,3,2005,Fall-Winter 2005,http://www.nyu.edu/calabash/vol3no2/,vol3no2/0302084.pdf,Gone,Gone,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0302098.pdf,Keshia James,"James, Keshia",,2,3,2005,Fall-Winter 2005,http://www.nyu.edu/calabash/vol3no2/,vol3no2/0302098.pdf,Still Here,Still Here,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0302164.pdf,Maureen Roberts,"Roberts, Maureen",,2,3,2005,Fall-Winter 2005,http://www.nyu.edu/calabash/vol3no2/,vol3no2/0302164.pdf,Slow Down Freight Train,Slow Down Freight Train,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
An Exercise in Discipline.pdf,Deanne Kennedy,"Kennedy, Deanne",,1,1,2000-09,September 2000,http://www.nyu.edu/calabash/vol1no1//,An Exercise in Discipline.pdf,An Exercise in Discipline,An Exercise in Discipline,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
The Verandah.pdf,Clifford Mason,"Mason, Clifford",,1,1,2000-09,September 2000,http://www.nyu.edu/calabash/vol1no1//,The Verandah.pdf,The Verandah,The Verandah,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
Vanishing Point.pdf,Thomas McConnell,"McConnell, Thomas",,1,1,2000-09,September 2000,http://www.nyu.edu/calabash/vol1no1//,Vanishing Point.pdf,Vanishing Point,Vanishing Point,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
On The Side.pdf,Anton Nimblett,"Nimblett, Anton",,1,1,2000-09,September 2000,http://www.nyu.edu/calabash/vol1no1//,On The Side.pdf,On The Side,On The Side,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0301094.pdf,Dwight Maxwell,"Maxwell, Dwight",,1,3,2004,Fall-Spring 2004,http://www.nyu.edu/calabash/vol3no1/,0301094.pdf,A Fisherman's Tale,A Fisherman's Tale,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0301099.pdf,Susan Brennan,"Brennan, Susan",,1,3,2004,Fall-Spring 2004,http://www.nyu.edu/calabash/vol3no1/,0301099.pdf,The Blue Hole,The Blue Hole,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0301100.pdf,Susan Brennan,"Brennan, Susan",,1,3,2004,Fall-Spring 2004,http://www.nyu.edu/calabash/vol3no1/,0301100.pdf,Blind Swimmers,Blind Swimmers,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0301101.pdf,Susan Brennan,"Brennan, Susan",,1,3,2004,Fall-Spring 2004,http://www.nyu.edu/calabash/vol3no1/,0301101.pdf,Cruelty Sea Maid,Cruelty Sea Maid,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0301102.pdf,Susan Brennan,"Brennan, Susan",,1,3,2004,Fall-Spring 2004,http://www.nyu.edu/calabash/vol3no1/,0301102.pdf,Morning Bird,Morning Bird,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0202040.pdf,Maggie Harris,"Harris, Maggie",,2,2,2003,Summer-Fall 2003,http://www.nyu.edu/calabash/vol2no2/,0202040.pdf,"To the Lady's Slipper Orchid, a Daughter","To the Lady's Slipper Orchid, a Daughter",1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0202041.pdf,Maggie Harris,"Harris, Maggie",,2,2,2003,Summer-Fall 2003,http://www.nyu.edu/calabash/vol2no2/,0202041.pdf,the night-time put on flesh and blackness',the night-time put on flesh and blackness',1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0202042.pdf,Maggie Harris,"Harris, Maggie",,2,2,2003,Summer-Fall 2003,http://www.nyu.edu/calabash/vol2no2/,0202042.pdf,Pancho Villa's Daughter,Pancho Villa's Daughter,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0202043.pdf,Maggie Harris,"Harris, Maggie",,2,2,2003,Summer-Fall 2003,http://www.nyu.edu/calabash/vol2no2/,0202043.pdf,Sugar,Sugar,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0202066.pdf,Dwight Maxwell,"Maxwell, Dwight",,2,2,2003,Summer-Fall 2003,http://www.nyu.edu/calabash/vol2no2/,0202066.pdf,A Fisherman's Tale,A Fisherman's Tale,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
Tanty Joan at the Airport.pdf,N'Maya Patricia,"Patricia, N'Maya",,1,2,2002,Fall 2002,http://www.nyu.edu/calabash/vol2no1/,Tanty Joan at the Airport.pdf,Tanty Joan at the Airport,Tanty Joan at the Airport,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
So Much Like My Father.pdf,Virgil Suarez,"Suarez, Virgil",,1,2,2002,Fall 2002,http://www.nyu.edu/calabash/vol2no1/,So Much Like My Father.pdf,So Much Like My Father,So Much Like My Father,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
Lo que se va en la noche.pdf,Virgil Suarez,"Suarez, Virgil",,1,2,2002,Fall 2002,http://www.nyu.edu/calabash/vol2no1/,Lo que se va en la noche.pdf,Lo que se va en la noche,Lo que se va en la noche,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
Haircut.pdf,Virgil Suarez,"Suarez, Virgil",,1,2,2002,Fall 2002,http://www.nyu.edu/calabash/vol2no1/,Haircut.pdf,Haircut,Haircut,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
Las Ausencias.pdf,Virgil Suarez,"Suarez, Virgil",,1,2,2002,Fall 2002,http://www.nyu.edu/calabash/vol2no1/,Las Ausencias.pdf,Las Ausencias,Las Ausencias,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
A Saltwater Negro Speaks.pdf,Ernest Pepin,"Pepin, Ernest",,2,1,2001,Spring-Summer 2001,http://www.nyu.edu/calabash/vol1no2/,A Saltwater Negro Speaks.pdf,A Saltwater Negro Speaks/ Demande Moi,A Saltwater Negro Speaks/ Demande Moi,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
Dear Brer Rabbit.pdf,Winston Farrell,"Farrell, Winston",,2,1,2001,Spring-Summer 2001,http://www.nyu.edu/calabash/vol1no2/,Dear Brer Rabbit.pdf,Dear Brer Rabbit,Dear Brer Rabbit,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
Tough Act.pdf,Carol Bourne,"Bourne, Carol",,2,1,2001,Spring-Summer 2001,http://www.nyu.edu/calabash/vol1no2/,Tough Act.pdf,Tough Act,Tough Act,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
Helen.pdf,Carol Bourne,"Bourne, Carol",,2,1,2001,Spring-Summer 2001,http://www.nyu.edu/calabash/vol1no2/,Helen.pdf,Helen,Helen,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
Full Moon.pdf,Gerthie Owtram,"Owtram, Gerthie",,2,1,2001,Spring-Summer 2001,http://www.nyu.edu/calabash/vol1no2/,Full Moon.pdf,Full Moon,Full Moon,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0302053.pdf,Jacqueline Bishop|Dolace McLean,"Bishop, Jacqueline;McLean, Dolace",,2,3,2005,Fall-Winter 2005,http://www.nyu.edu/calabash/vol3no2/,vol3no2/0302053.pdf,"Working out Grenada: , An Interview With Merle Collins","Working out Grenada: , An Interview With Merle Collins",1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0302076.pdf,Maria Luisa Ruiz,"Ruiz, Maria Luisa",,2,3,2005,Fall-Winter 2005,http://www.nyu.edu/calabash/vol3no2/,vol3no2/0302076.pdf,"Redifining the Concept of God: , A Review of Yván Silén's La Muerte De Mamá","Redifining the Concept of God: , A Review of Yván Silén's La Muerte De Mamá",1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0302080.pdf,Maria Luisa Ruiz,"Ruiz, Maria Luisa",,2,3,2005,Fall-Winter 2005,http://www.nyu.edu/calabash/vol3no2/,vol3no2/0302080.pdf,Una Resena De La Muerte De Mama De Yvan Silen,Una Resena De La Muerte De Mama De Yvan Silen,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
Mr Hugo.pdf,Jennifer Palmer,"Palmer, Jennifer",,1,1,2000-09,September 2000,http://www.nyu.edu/calabash/vol1no1//,Mr Hugo.pdf,Mr. Hugo,Mr. Hugo,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0301104.pdf,Susan Brennan,"Brennan, Susan",,1,3,2004,Fall-Spring 2004,http://www.nyu.edu/calabash/vol3no1/,0301104.pdf,Forest,Forest,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0301107.pdf,Susan Brennan,"Brennan, Susan",,1,3,2004,Fall-Spring 2004,http://www.nyu.edu/calabash/vol3no1/,0301107.pdf,Island Haikus,Island Haikus,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0301109.pdf,Susan Brennan,"Brennan, Susan",,1,3,2004,Fall-Spring 2004,http://www.nyu.edu/calabash/vol3no1/,0301109.pdf,Party at the House of Isis,Party at the House of Isis,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0301111.pdf,Nadine Rogers,"Rogers, Nadine",,1,3,2004,Fall-Spring 2004,http://www.nyu.edu/calabash/vol3no1/,0301111.pdf,Casting Spells,Casting Spells,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0301113.pdf,Nadine Rogers,"Rogers, Nadine",,1,3,2004,Fall-Spring 2004,http://www.nyu.edu/calabash/vol3no1/,0301113.pdf,Notes from Lee Malvo's Cell,Notes from Lee Malvo's Cell,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0202069.pdf,Mia Leonin,"Leonin, Mia",,2,2,2003,Summer-Fall 2003,http://www.nyu.edu/calabash/vol2no2/,0202069.pdf,Meridian,Meridian,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
