author,authorbio,issueurl,pdfname,section,title,titlegroup
by Patrick Sylvain ,,http://www.nyu.edu/calabash/vol2no1/,Death and Apathy.pdf,,"Death 
              & Apathy at the Crossroads",
by Shara McCallum ,,http://www.nyu.edu/calabash/vol2no1/,Writing the Self.pdf,,"Writing 
              the Self, the Self that Writes",
by Rose Mary Allen ,,http://www.nyu.edu/calabash/vol2no1/,Tur hende a papia un ko.pdf,,"Tur 
              hende a papia un ko - African Curacoan Women",
by Micheal A Brown,,http://www.nyu.edu/calabash/vol1no2/,Espana inmortal.pdf,,"España 
        inmortal - Lorenzo Homar's Prints",
by Gerard Dapena,,http://www.nyu.edu/calabash/vol1no2/,Tropical Excess.pdf,,"Tropical 
        Excess: Carribean Art & The Baroque",
by Edward J Sullivan,,http://www.nyu.edu/calabash/vol1no2/,Spirit Travellers.pdf,,"Spirit 
        Travellers: Painting By Edouard Duval-Carrie",
by Duval-Carrie Edouard,,http://www.nyu.edu/calabash/vol1no2/,The Landing.pdf,,Artist Statement,
by Tony Monsanto,,http://www.nyu.edu/calabash/vol1no2/,Monsanto Statement.pdf,,Artist Statement,
by Michela A Calderaro,,http://www.nyu.edu/calabash/vol1no2/,True Music Of The Spheres.pdf,,"True 
        Music Of The Spheres: A Review Of Paule Marshall's The Fisher King",
by Michela A Calderaro ,,http://www.nyu.edu/calabash/vol2no1/,Words Give Love Too.pdf,,"Words 
              Give Love Too: A Review",
"by Christine Y Kim, Franklin Sirmans",,http://www.nyu.edu/calabash/vol2no1/,Micheal Richards.pdf,,"Micheal 
              Richards",
